74. 	18500 	Defense Grid: The Awakening 	2,918 	80 	96.59% 	97.33%
75. 	231160 	The Swapper 	4,861 	143 	96.57% 	97.14%
76. 	339350 	Choice of Robots 	1,474 	36 	96.57% 	97.62%
77. 	102600 	Orcs Must Die! 	4,840 	143 	96.55% 	97.13%
78. 	9420 	Supreme Commander: Forged Alliance 	3,609 	103 	96.55% 	97.23%
79. 	322330 	Don't Starve Together 	60,200 	2,087 	96.48% 	96.65%
80. 	571880 	Angels with Scaly Wings 	319 	4 	96.46% 	98.76%
81. 	70400 	Recettear: An Item Shop's Tale 	4,419 	134 	96.44% 	97.06%
82. 	529150 	Lazerbait 	232 	2 	96.42% 	99.15%
83. 	288160 	The Room 	5,779 	182 	96.41% 	96.95%
84. 	319630 	Life is Strange™ 	86,965 	3,121 	96.40% 	96.54%
85. 	8930 	Sid Meier's Civilization V 	106,621 	3,856 	96.38% 	96.51%
86. 	204360 	Castle Crashers 	37,910 	1,348 	96.35% 	96.57%
87. 	266010 	LYNE 	6,187 	201 	96.33% 	96.85%
88. 	303310 	The House in Fata Morgana 	181 	1 	96.32% 	99.45%
89. 	600370 	Paradigm 	307 	4 	96.32% 	98.71%
90. 	70 	Half-Life 	16,963 	601 	96.26% 	96.58%
91. 	261570 	Ori and the Blind Forest 	21,876 	791 	96.23% 	96.51%
92. 	293780 	Crawl 	2,499 	76 	96.20% 	97.05%
93. 	360740 	Downwell 	3,172 	100 	96.19% 	96.94%
94. 	13240 	Unreal Tournament: Game of the Year Edition 	1,528 	43 	96.18% 	97.26%
95. 	35140 	Batman: Arkham Asylum GOTY Edition 	15,739 	569 	96.17% 	96.51%
96. 	250760 	Shovel Knight: Treasure Trove 	7,770 	269 	96.17% 	96.65%
97. 	370360 	TIS-100 	1,901 	56 	96.17% 	97.14%
98. 	420 	Half-Life 2: Episode Two 	9,693 	341 	96.17% 	96.60%
99. 	284770 	Enigmatis 2: The Mists of Ravenwood 	670 	15 	96.17% 	97.81%
100. 	407310 	NEKO-NIN exHeart 	292 	4 	96.14% 	98.65%
101. 	55230 	Saints Row: The Third 	35,272 	1,335 	96.13% 	96.35%
102. 	373390 	Contradiction - the all-video murder mystery adventure 	1,239 	34 	96.12% 	97.33%
103. 	385250 	Paint it Back 	252 	3 	96.11% 	98.82%
104. 	287980 	Mini Metro 	4,744 	162 	96.08% 	96.70%
105. 	246420 	Kingdom Rush 	4,177 	141 	96.07% 	96.73%
106. 	207690 	Botanicula 	2,654 	85 	96.06% 	96.90%
107. 	236090 	Dust: An Elysian Tail 	13,777 	511 	96.06% 	96.42%
108. 	365720 	Skyrim Script Extender (SKSE) 	490 	10 	96.05% 	98.00%
109. 	496920 	Moirai 	11,586 	429 	96.03% 	96.43%
110. 	35720 	Trine 2 	13,738 	515 	96.02% 	96.39%
111. 	251370 	Escape Goat 	519 	11 	96.02% 	97.92%
112. 	387290 	Ori and the Blind Forest: Definitive Edition 	6,617 	237 	96.01% 	96.54%
113. 	559210 	Rakuen 	281 	4 	95.99% 	98.60%
114. 	512490 	Zombie Estate 2 	165 	1 	95.98% 	99.40%
115. 	458710 	Kingdom Rush Frontiers 	1,282 	37 	95.98% 	97.19%
116. 	530390 	Slayaway Camp 	347 	6 	95.95% 	98.30%
117. 	238320 	Outlast 	28,252 	1,117 	95.94% 	96.20%
118. 	322170 	Geometry Dash 	36,495 	1,459 	95.93% 	96.16%
119. 	460120 	Megadimension Neptunia VII 	1,538 	47 	95.92% 	97.03%
120. 	304410 	Hexcells Infinite 	1,367 	41 	95.90% 	97.09%
121. 	41050 	Serious Sam Classic: The First Encounter 	1,032 	29 	95.90% 	97.27%
122. 	280220 	Creeper World 3: Arc Eternal 	1,767 	56 	95.89% 	96.93%
123. 	504210 	SHENZHEN I/O 	998 	28 	95.88% 	97.27%
124. 	373770 	LiEat 	1,492 	46 	95.87% 	97.01%
125. 	113200 	The Binding of Isaac 	40,462 	1,647 	95.87% 	96.09%
126. 	451760 	Highway Blossoms 	404 	8 	95.86% 	98.06%
127. 	239030 	Papers, Please 	19,134 	769 	95.82% 	96.14%
128. 	251290 	The Legend of Heroes: Trails in the Sky SC 	754 	20 	95.80% 	97.42%
129. 	242680 	Nuclear Throne 	7,923 	307 	95.77% 	96.27%
130. 	324680 	Impossible Creatures 	517 	12 	95.77% 	97.73%
131. 	236930 	Blackwell Epiphany 	394 	8 	95.76% 	98.01%
132. 	203160 	Tomb Raider 	64,642 	2,749 	95.75% 	95.92%
133. 	391540 	Undertale 	78,262 	3,337 	95.75% 	95.91%
134. 	410890 	Higurashi When They Cry Hou - Ch.2 Watanagashi 	193 	2 	95.73% 	98.97%
135. 	428550 	Momodora: Reverie Under the Moonlight 	3,012 	108 	95.73% 	96.54%
136. 	434570 	Blood and Bacon 	10,499 	420 	95.72% 	96.15%
137. 	257510 	The Talos Principle 	12,672 	512 	95.72% 	96.12%
138. 	410980 	Master of Orion 2 	228 	3 	95.71% 	98.70%
139. 	530350 	Smashbox Arena 	327 	6 	95.71% 	98.20%
140. 	291860 	Pit People 	3,046 	110 	95.71% 	96.51%
141. 	4000 	Garry's Mod 	277,296 	12,230 	95.69% 	95.78%
142. 	339800 	HuniePop 	12,090 	492 	95.68% 	96.09%
143. 	283960 	Pajama Sam in No Need to Hide When It's Dark Outside 	475 	11 	95.67% 	97.74%
144. 	200900 	Cave Story+ 	4,511 	172 	95.66% 	96.33%
145. 	200260 	Batman: Arkham City GOTY 	20,146 	848 	95.65% 	95.96%
146. 	261030 	The Walking Dead: Season Two 	18,850 	791 	95.65% 	95.97%
147. 	240 	Counter-Strike: Source 	61,340 	2,676 	95.64% 	95.82%
